score,label,label_numeric
0.5738927,live,0
0.39279222,live,0
0.5647045,live,0
0.6166395,live,0
0.62727,live,0
0.54913354,live,0
0.5262835,live,0
0.57343036,live,0
0.5385543,live,0
0.58358765,live,0
0.5590089,live,0
0.6785966,live,0
0.54887587,live,0
0.49091262,live,0
0.62097967,live,0
0.6504374,live,0
0.5659997,live,0
0.5207097,live,0
0.5611061,live,0
0.57765496,live,0
0.5520779,live,0
0.53919286,live,0
0.5520224,live,0
0.57710516,live,0
0.48438194,live,0
0.45825654,live,0
0.54449886,live,0
0.5313776,live,0
0.5445202,live,0
0.57586855,live,0
0.43792295,live,0
0.6084099,live,0
0.5107759,live,0
0.50727946,live,0
0.61980706,live,0
0.5701073,live,0
0.55343276,live,0
0.51445043,live,0
0.5893841,live,0
0.4867584,live,0
0.56454986,live,0
0.6199053,live,0
0.58172625,live,0
0.5652025,live,0
0.5909656,live,0
0.63520366,live,0
0.5987245,live,0
0.5828487,live,0
0.61707646,live,0
0.5867691,live,0
0.5593821,live,0
0.5701661,live,0
0.5871263,live,0
0.5742388,live,0
0.5900628,live,0
0.5953491,live,0
0.55288094,live,0
0.55742633,live,0
0.53654313,live,0
0.52923965,live,0
0.5497877,live,0
0.6274399,live,0
0.40907,live,0
0.6502863,live,0
0.499576,live,0
0.5374284,live,0
0.51666886,live,0
0.55882263,live,0
0.6257058,live,0
0.54207534,live,0
0.56965196,live,0
0.64173865,live,0
0.5761614,live,0
0.62357646,live,0
0.64841187,live,0
0.5991375,live,0
0.535833,live,0
0.6620428,live,0
0.56095594,live,0
0.52726924,live,0
0.67493224,live,0
0.62124324,live,0
0.543775,live,0
0.5809355,live,0
0.61906755,live,0
0.5902303,live,0
0.63100404,live,0
0.5436843,live,0
0.5593467,live,0
0.6093886,live,0
0.5043801,live,0
0.6081749,live,0
0.5468235,live,0
0.5458081,live,0
0.51592034,live,0
0.6230436,live,0
0.6624952,live,0
0.49143657,live,0
0.4521227,live,0
0.543269,live,0
0.4321196,live,0
0.4773936,live,0
0.5335306,live,0
0.6266296,live,0
0.51446927,live,0
0.5025771,live,0
0.605699,live,0
0.4965773,live,0
0.47801223,live,0
0.51918733,live,0
0.43058744,live,0
0.65229326,live,0
0.5717255,live,0
0.55087906,live,0
0.4396583,live,0
0.5077589,live,0
0.48707318,live,0
0.66629124,live,0
0.57705957,live,0
0.56458867,live,0
0.5576327,live,0
0.4625913,live,0
0.6159983,live,0
0.5590218,live,0
0.52723926,live,0
0.4924545,live,0
0.6424906,live,0
0.57565296,live,0
0.5046118,live,0
0.6020654,live,0
0.52232957,live,0
0.56037754,live,0
0.56238115,live,0
0.5789856,live,0
0.5716174,live,0
0.47096792,live,0
0.5851497,live,0
0.52547526,live,0
0.5441833,live,0
0.52164876,live,0
0.48579842,live,0
0.5609053,live,0
0.49544194,live,0
0.62936556,live,0
0.54249644,live,0
0.49846295,live,0
0.622252,live,0
0.629316,live,0
0.6580069,live,0
0.59252083,live,0
