score,label,label_numeric
0.99563885,live,0
0.99590695,live,0
0.9934128,live,0
0.982021,live,0
0.9954549,live,0
0.99925274,live,0
0.9983606,live,0
0.9967314,live,0
0.9913105,live,0
0.9944239,live,0
0.9943792,live,0
0.9980141,live,0
0.98801374,live,0
0.99544936,live,0
0.9984097,live,0
0.9953548,live,0
0.99583983,live,0
0.9951007,live,0
0.99623907,live,0
0.9951131,live,0
0.98137134,live,0
0.99061173,live,0
0.96203935,live,0
0.99578446,live,0
0.9910495,live,0
0.9956867,live,0
0.9834176,live,0
0.9334939,live,0
0.9958503,live,0
0.9492581,live,0
0.969715,live,0
0.98846835,live,0
0.9868702,live,0
0.9688081,live,0
0.97197807,live,0
0.9627303,live,0
0.9657584,live,0
0.9931496,live,0
0.9884819,live,0
0.95221853,live,0
0.99573034,live,0
0.9955941,live,0
0.9491509,live,0
0.96677846,live,0
0.9904924,live,0
0.97222364,live,0
0.99867344,live,0
0.99064237,live,0
0.9978967,live,0
0.9928261,live,0
0.99302495,live,0
0.99416095,live,0
0.9817077,live,0
0.99708754,live,0
0.9839363,live,0
0.9974905,live,0
0.9855096,live,0
0.9923413,live,0
0.99563074,live,0
0.9944008,live,0
0.980143,live,0
0.9873289,live,0
0.9810693,live,0
0.9757474,live,0
0.98698133,live,0
0.9923935,live,0
0.9947655,live,0
0.98789924,live,0
0.98211145,live,0
0.9864245,live,0
0.9962585,live,0
0.9834699,live,0
0.98869354,live,0
0.9850331,live,0
0.99162275,live,0
0.9800628,live,0
0.99462235,live,0
0.98487145,live,0
0.9920041,live,0
0.9944048,live,0
0.977476,live,0
0.9926703,live,0
0.99506927,live,0
0.9893506,live,0
0.9899262,live,0
0.9924591,live,0
0.986634,live,0
0.9270473,live,0
0.9969036,live,0
0.982262,live,0
0.9960723,live,0
0.9902208,live,0
0.998201,live,0
0.9956409,live,0
0.976232,live,0
0.9986553,live,0
0.99931383,live,0
0.9857991,live,0
0.9848337,live,0
0.9877736,live,0
0.9818364,live,0
0.9761978,live,0
0.9934394,live,0
0.97650063,live,0
0.9938245,live,0
0.99155736,live,0
0.9940339,live,0
0.9795435,live,0
0.9934729,live,0
0.99626094,live,0
0.99392843,live,0
0.9951149,live,0
0.9709644,live,0
0.9963749,live,0
0.9921927,live,0
0.9937331,live,0
0.99704486,live,0
0.99442405,live,0
0.9883859,live,0
0.9860011,live,0
0.9888954,live,0
0.99433964,live,0
0.97867006,live,0
0.9964972,live,0
0.9777298,live,0
0.9985629,live,0
0.9981818,live,0
0.98827773,live,0
0.9949156,live,0
0.99345773,live,0
0.99785894,live,0
0.99443614,live,0
0.97542125,live,0
0.9919288,live,0
0.99812084,live,0
0.99560475,live,0
0.99627495,live,0
0.98630095,live,0
0.9985501,live,0
0.9958199,live,0
0.9907127,live,0
0.99242777,live,0
0.9974981,live,0
0.99604356,live,0
0.99854493,live,0
0.9965933,live,0
0.99258864,live,0
0.99589646,live,0
0.99800915,live,0
0.98654884,live,0
0.9937942,live,0
0.9950683,live,0
0.9860736,live,0
0.99488294,live,0
0.99375397,live,0
0.9895922,live,0
0.9974366,live,0
0.9915936,live,0
0.9900934,live,0
0.9925195,live,0
0.96497357,live,0
0.9947226,live,0
0.98836213,live,0
0.98156583,live,0
0.982682,live,0
0.99779665,live,0
0.99466467,live,0
0.99625057,live,0
0.9980751,live,0
0.99277955,live,0
0.99870527,live,0
0.9819417,live,0
0.99412894,live,0
0.99039245,live,0
0.997162,live,0
0.9985984,live,0
0.9974602,live,0
0.9952181,live,0
0.99060374,live,0
0.99067503,live,0
0.99732,live,0
0.99478674,live,0
0.99328303,live,0
0.9959818,live,0
0.9948088,live,0
0.99838483,live,0
0.98591924,live,0
0.9956749,live,0
0.9611702,live,0
0.9815305,live,0
0.9697205,live,0
0.9955107,live,0
0.99582845,live,0
0.98418796,live,0
0.96562904,live,0
0.99788517,live,0
0.9756749,live,0
0.9820369,live,0
0.9877159,live,0
0.99544513,live,0
0.99674773,live,0
0.98967487,live,0
0.99272025,live,0
0.9981244,live,0
0.99444735,live,0
0.9847377,live,0
0.99418986,live,0
0.9894498,live,0
0.986416,live,0
0.97101575,live,0
0.9902502,live,0
0.9889635,live,0
0.99701107,live,0
0.99582314,live,0
0.9783613,live,0
0.99786645,live,0
0.9890398,live,0
0.9857318,live,0
0.98775566,live,0
0.98647517,live,0
0.9954522,live,0
0.99817824,live,0
0.9879771,live,0
0.9870936,live,0
0.9942279,live,0
0.9938133,live,0
0.98992914,live,0
0.98788273,live,0
0.9978635,live,0
0.98504215,live,0
0.99648225,live,0
0.97654736,live,0
0.99103856,live,0
0.9949944,live,0
0.9936401,live,0
0.9898489,live,0
0.9913474,live,0
0.99656916,live,0
0.96689045,live,0
0.9933246,live,0
0.9978027,live,0
0.99564314,live,0
0.9976476,live,0
0.98862004,live,0
0.9968106,live,0
0.9962966,live,0
0.9958164,live,0
0.9956124,live,0
0.98436594,live,0
0.9941981,live,0
0.991647,live,0
0.9980459,live,0
0.9904028,live,0
0.99078673,live,0
0.9933349,live,0
0.9931926,live,0
0.997059,live,0
0.9927255,live,0
0.99321705,live,0
0.99638015,live,0
0.99735886,live,0
0.99575174,live,0
0.99143535,live,0
0.98783827,live,0
0.9954888,live,0
0.99370307,live,0
0.9838594,live,0
0.99855894,live,0
0.9902113,live,0
0.98868936,live,0
0.9883442,live,0
0.99753356,live,0
0.99652064,live,0
0.9916089,live,0
0.99728036,live,0
0.99482006,live,0
0.9983612,live,0
0.99352324,live,0
0.9897287,live,0
0.9834066,live,0
0.99422944,live,0
0.9905385,live,0
0.99653757,live,0
0.9967733,live,0
0.9958437,live,0
0.98823,live,0
0.99419147,live,0
0.9950864,live,0
0.99834895,live,0
0.99742234,live,0
0.99792576,live,0
0.9670904,live,0
0.9981134,live,0
0.99816376,live,0
0.9935055,live,0
0.9821911,live,0
0.9972953,live,0
0.9920026,live,0
0.9933842,live,0
0.9890226,live,0
0.9930248,live,0
0.9926945,live,0
0.9943224,live,0
0.98540133,live,0
0.9968857,live,0
0.98185194,live,0
0.9962716,live,0
0.9933113,live,0
0.99439645,live,0
0.9828687,live,0
0.98891556,live,0
0.99626094,live,0
0.9895811,live,0
0.97538835,live,0
0.9769602,live,0
0.9922448,live,0
0.9806786,live,0
0.9944037,live,0
0.97946334,live,0
0.9737366,live,0
