image_path,image_name,subject_id,true_label,predicted_label,probability_live,probability_spoof,correct
test_split/7200/live/518979.png,518979.png,7200,live,live,0.9824,0.01758,True
test_split/7200/live/522444.png,522444.png,7200,live,live,0.995,0.004883,True
test_split/7200/live/523950.png,523950.png,7200,live,live,0.993,0.006836,True
test_split/7200/live/524933.png,524933.png,7200,live,live,0.9946,0.00537,True
test_split/7200/live/525075.png,525075.png,7200,live,live,0.995,0.004883,True
test_split/7200/live/527846.png,527846.png,7200,live,live,0.995,0.004883,True
test_split/7200/live/529247.png,529247.png,7200,live,live,0.995,0.004883,True
test_split/7200/live/532108.png,532108.png,7200,live,live,0.9956,0.004395,True
test_split/7200/live/537057.png,537057.png,7200,live,live,0.9946,0.00537,True
test_split/7200/live/537609.png,537609.png,7200,live,live,0.995,0.004883,True
test_split/7200/live/540587.png,540587.png,7200,live,live,0.915,0.08496,True
test_split/7200/live/542440.png,542440.png,7200,live,live,0.9946,0.00537,True
test_split/7200/live/542562.png,542562.png,7200,live,live,0.743,0.2568,True
test_split/7200/live/542849.png,542849.png,7200,live,live,0.9946,0.00537,True
test_split/7200/live/544581.png,544581.png,7200,live,live,0.995,0.004883,True
test_split/7200/live/547681.png,547681.png,7200,live,live,0.9893,0.01074,True
test_split/7200/live/550810.png,550810.png,7200,live,live,0.9917,0.0083,True
test_split/7200/live/551563.png,551563.png,7200,live,live,0.9927,0.007324,True
test_split/7200/live/552331.png,552331.png,7200,live,live,0.995,0.004883,True
test_split/7200/live/555004.png,555004.png,7200,live,live,0.995,0.004883,True
test_split/7206/live/495684.png,495684.png,7206,live,live,0.994,0.00586,True
test_split/7206/live/502376.png,502376.png,7206,live,live,0.995,0.004883,True
test_split/7206/live/505278.png,505278.png,7206,live,live,0.995,0.004883,True
test_split/7206/live/505303.png,505303.png,7206,live,spoof,0.2358,0.764,False
test_split/7206/live/506348.png,506348.png,7206,live,live,0.995,0.004883,True
test_split/7206/live/508286.png,508286.png,7206,live,live,0.995,0.004883,True
test_split/7206/live/512741.png,512741.png,7206,live,live,0.9956,0.004395,True
test_split/7206/live/513794.png,513794.png,7206,live,live,0.995,0.004883,True
test_split/7206/live/514031.png,514031.png,7206,live,live,0.994,0.00586,True
test_split/7206/live/516551.png,516551.png,7206,live,live,0.9927,0.007324,True
test_split/7206/live/516928.png,516928.png,7206,live,live,0.9956,0.004395,True
test_split/7206/live/518751.png,518751.png,7206,live,live,0.994,0.00586,True
test_split/7206/live/522661.png,522661.png,7206,live,live,0.9956,0.004395,True
test_split/7206/live/523941.png,523941.png,7206,live,live,0.995,0.004883,True
test_split/7206/live/529949.png,529949.png,7206,live,live,0.9946,0.00537,True
test_split/7206/live/530550.png,530550.png,7206,live,live,0.9956,0.004395,True
test_split/7206/live/532123.png,532123.png,7206,live,live,0.9956,0.004395,True
test_split/7206/live/537400.png,537400.png,7206,live,live,0.992,0.007812,True
test_split/7206/live/540237.png,540237.png,7206,live,live,0.995,0.004883,True
test_split/7206/live/542357.png,542357.png,7206,live,live,0.9917,0.0083,True
test_split/7206/live/545018.png,545018.png,7206,live,live,0.875,0.125,True
test_split/7206/live/545289.png,545289.png,7206,live,live,0.995,0.004883,True
test_split/7206/live/545724.png,545724.png,7206,live,live,0.995,0.004883,True
test_split/7206/live/547514.png,547514.png,7206,live,live,0.9956,0.004395,True
test_split/7206/live/548561.png,548561.png,7206,live,live,0.995,0.004883,True
test_split/7206/live/549975.png,549975.png,7206,live,live,0.995,0.004883,True
test_split/7206/live/550893.png,550893.png,7206,live,live,0.994,0.00586,True
test_split/7206/live/557735.png,557735.png,7206,live,live,0.9946,0.00537,True
test_split/7206/live/558370.png,558370.png,7206,live,live,0.995,0.004883,True
test_split/7206/live/558814.png,558814.png,7206,live,live,0.995,0.004883,True
test_split/7206/spoof/508660.png,508660.png,7206,spoof,spoof,0.01945,0.9805,True
test_split/7206/spoof/517270.png,517270.png,7206,spoof,spoof,0.008286,0.9917,True
test_split/7206/spoof/524378.png,524378.png,7206,spoof,spoof,0.0349,0.965,True
test_split/7206/spoof/532599.png,532599.png,7206,spoof,live,0.595,0.4048,False
test_split/7206/spoof/540278.png,540278.png,7206,spoof,spoof,0.00838,0.9917,True
test_split/7206/spoof/549731.png,549731.png,7206,spoof,spoof,0.01404,0.986,True
test_split/7206/spoof/550883.png,550883.png,7206,spoof,spoof,0.04065,0.9595,True
test_split/7206/spoof/552547.png,552547.png,7206,spoof,live,0.9478,0.05225,False
test_split/7206/spoof/554765.png,554765.png,7206,spoof,spoof,0.004692,0.995,True
test_split/7206/spoof/555987.png,555987.png,7206,spoof,spoof,0.013794,0.9863,True
test_split/7206/spoof/558263.png,558263.png,7206,spoof,live,0.859,0.1411,False
test_split/7213/live/495055.png,495055.png,7213,live,live,0.995,0.004883,True
test_split/7213/live/497146.png,497146.png,7213,live,live,0.567,0.433,True
test_split/7213/live/498396.png,498396.png,7213,live,live,0.995,0.004883,True
test_split/7213/live/502526.png,502526.png,7213,live,live,0.995,0.004883,True
test_split/7213/live/512139.png,512139.png,7213,live,live,0.9883,0.01172,True
test_split/7213/live/517823.png,517823.png,7213,live,live,0.9946,0.00537,True
test_split/7213/live/520977.png,520977.png,7213,live,live,0.924,0.0762,True
test_split/7213/live/521689.png,521689.png,7213,live,live,0.9956,0.004395,True
test_split/7213/live/528189.png,528189.png,7213,live,live,0.9946,0.00537,True
test_split/7213/live/534627.png,534627.png,7213,live,live,0.994,0.00586,True
test_split/7213/live/539713.png,539713.png,7213,live,live,0.9946,0.00537,True
test_split/7213/live/544085.png,544085.png,7213,live,spoof,0.2805,0.7197,False
test_split/7213/live/546216.png,546216.png,7213,live,spoof,0.4736,0.5264,False
test_split/7213/live/547415.png,547415.png,7213,live,live,0.9937,0.006348,True
test_split/7213/live/549851.png,549851.png,7213,live,live,0.987,0.01318,True
test_split/7213/live/549992.png,549992.png,7213,live,live,0.994,0.00586,True
test_split/7213/live/550909.png,550909.png,7213,live,live,0.9243,0.0757,True
test_split/7213/live/550952.png,550952.png,7213,live,live,0.993,0.006836,True
test_split/7213/live/551576.png,551576.png,7213,live,live,0.9434,0.05664,True
test_split/7213/live/556226.png,556226.png,7213,live,live,0.9956,0.004395,True
test_split/7216/live/495379.png,495379.png,7216,live,live,0.9946,0.00537,True
test_split/7216/live/496293.png,496293.png,7216,live,live,0.9927,0.007324,True
test_split/7216/live/499340.png,499340.png,7216,live,live,0.995,0.004883,True
test_split/7216/live/500970.png,500970.png,7216,live,live,0.9917,0.0083,True
test_split/7216/live/505783.png,505783.png,7216,live,live,0.985,0.01514,True
test_split/7216/live/512110.png,512110.png,7216,live,live,0.992,0.007812,True
test_split/7216/live/516601.png,516601.png,7216,live,live,0.768,0.2319,True
test_split/7216/live/521944.png,521944.png,7216,live,spoof,0.0716,0.928,False
test_split/7216/live/522842.png,522842.png,7216,live,live,0.8613,0.1387,True
test_split/7216/live/524336.png,524336.png,7216,live,live,0.995,0.004883,True
test_split/7216/live/529083.png,529083.png,7216,live,live,0.994,0.00586,True
test_split/7216/live/531651.png,531651.png,7216,live,live,0.995,0.004883,True
test_split/7216/live/537493.png,537493.png,7216,live,live,0.954,0.0459,True
test_split/7216/live/537677.png,537677.png,7216,live,live,0.993,0.006836,True
test_split/7216/live/537764.png,537764.png,7216,live,live,0.992,0.007812,True
